game_number,strategy,seed,turns_survived,survived_target,final_people,max_people,final_food,max_food,total_hunts,successful_hunts,hunt_failures,hunt_deaths,total_food_rolls,total_food_gained,kinship_started,kinship_completed,tech_sets_completed,tech_upgrades_completed,prayer_earned,prayer_spent,sacrifices,events_ignored
265,random,100265,5,False,1,5,0,7,2,1,1,1,2,4,2,1,1,2,2,2,1,1
266,random,100266,4,False,1,5,0,7,3,1,2,2,1,2,1,0,1,1,5,4,1,2
267,random,100267,11,False,0,5,0,7,5,3,2,2,1,1,1,1,0,1,3,2,2,1
268,random,100268,18,False,1,6,0,14,6,3,3,3,8,19,7,6,2,2,5,4,1,2
269,random,100269,12,False,0,5,0,7,2,1,1,1,4,5,4,4,0,0,6,2,0,1
270,random,100270,38,False,0,5,38,38,12,11,1,1,17,30,2,2,4,5,8,6,3,3
271,random,100271,7,False,1,5,0,7,2,1,1,1,0,0,3,2,0,0,2,2,0,1
272,random,100272,6,False,1,5,0,9,3,2,1,1,1,2,2,1,0,0,5,4,0,2
273,random,100273,2,False,3,5,0,7,0,0,0,0,0,0,2,0,0,1,0,0,1,0
274,random,100274,10,False,0,5,0,11,3,1,2,2,4,6,3,3,1,1,3,2,1,1
275,random,100275,2,False,3,5,0,7,1,0,1,1,0,0,2,0,0,0,1,0,0,0
276,random,100276,9,False,3,6,0,14,4,3,1,1,3,6,6,2,0,0,1,0,1,0
277,random,100277,9,False,1,5,0,9,3,1,2,2,2,5,4,3,0,1,2,2,1,1
278,random,100278,5,False,1,5,0,7,1,0,1,1,2,4,2,1,1,1,1,0,0,0
279,random,100279,15,False,0,5,8,9,2,1,1,1,5,9,3,3,0,1,8,4,2,2
280,random,100280,7,False,3,6,0,9,2,2,0,0,6,9,5,3,0,2,0,0,2,0
281,random,100281,5,False,0,5,0,7,2,1,1,1,1,2,1,1,0,1,3,2,1,1
282,random,100282,28,False,0,5,22,23,9,6,3,3,15,36,6,6,3,7,15,14,8,7
